casts,cover,cover_x,cover_y,directors,id,rate,star,title,url
"['爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特', '扎克·格雷尼尔', '米特·洛夫']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,400,592,['大卫·芬奇'],1292000,9.0,45,搏击俱乐部,https://movie.douban.com/subject/1292000/
"['莫妮卡·贝鲁奇', '朱塞佩·苏尔法罗', '埃丽萨·莫鲁奇']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,1201,1704,['朱塞佩·托纳多雷'],1292402,8.8,45,西西里的美丽传说,https://movie.douban.com/subject/1292402/
"['马龙·白兰度', '阿尔·帕西诺', '詹姆斯·肯恩', '理查德·卡斯特尔诺', '罗伯特·杜瓦尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190556185.jpg,800,1200,['弗朗西斯·福特·科波拉'],1291841,9.2,45,教父,https://movie.douban.com/subject/1291841/
"['朱迪·福斯特', '安东尼·霍普金斯', '斯科特·格伦', '安东尼·希尔德', '布鲁克·史密斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,2489,3686,['乔纳森·戴米'],1293544,8.7,45,沉默的羔羊,https://movie.douban.com/subject/1293544/
"['莱昂纳多·迪卡普里奥', '马克·鲁弗洛', '本·金斯利', '马克斯·冯·叙多夫', '米歇尔·威廉姆斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,2480,3543,['马丁·斯科塞斯'],2334904,8.7,45,禁闭岛,https://movie.douban.com/subject/2334904/
"['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,4050,6000,['克里斯托弗·诺兰'],1851857,9.1,45,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/
"['阿尔·帕西诺', '克里斯·奥唐纳', '詹姆斯·瑞布霍恩', '加布里埃尔·安瓦尔', '菲利普·塞默·霍夫曼']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p925123037.jpg,518,755,['马丁·布莱斯'],1298624,8.9,45,闻香识女人,https://movie.douban.com/subject/1298624/
"['安妮·海瑟薇', '梅丽尔·斯特里普', '艾米莉·布朗特', '斯坦利·图齐', '西蒙·贝克']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p735379215.jpg,1693,2500,['大卫·弗兰科尔'],1482072,7.9,40,穿普拉达的女王,https://movie.douban.com/subject/1482072/
"['约翰·特拉沃尔塔', '乌玛·瑟曼', '阿曼达·普拉莫', '蒂姆·罗斯', '塞缪尔·杰克逊']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,514,755,['昆汀·塔伦蒂诺'],1291832,8.8,45,低俗小说,https://movie.douban.com/subject/1291832/
"['休·杰克曼', '克里斯蒂安·贝尔', '迈克尔·凯恩', '丽贝卡·豪尔', '斯嘉丽·约翰逊']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,2700,4000,['克里斯托弗·诺兰'],1780330,8.8,45,致命魔术,https://movie.douban.com/subject/1780330/
